company,year,e,v,e.,e..,s.,s..,i,r,p.,s,y
csco,2009,18013,0.140366167,,,-0.049119865,0.045356819,0.0009,0.0192,0.001222,20,-0.855260164
qcom,2022,9950,0.112773532,0.637321047,2,0.416308955,1,0.0704,0.0008,0.056711,138,-0.049119865
qcom,2021,6077,0.256066741,0.237930332,-0.95319118,0.398245792,2,0.0136,0.0036,-0.034046,145,0.416308955
qcom,2020,4909,0.170185654,5,-6,0.193345109,261,0.0229,0.0216,0.022889,103,0.398245792
qcom,2019,807,0.097229411,-0.97375183,29,0.071588991,-1,0.0191,0.0179,0.029189,73,0.193345109
qcom,2018,30745,0.092034265,-0.032202216,-4,0.000273201,-0.624773784,0.0211,0.01,0.022557,61,0.071588991
qcom,2017,31768,0.133036021,0.011268861,-1,-0.070753081,-2,0.0207,0.0039,0.016675,57,0.000273201
qcom,2016,31414,0.127606794,-0.197926773,-3,-0.188561135,0.69676082,0.0073,0.0013,0.027064,57,-0.070753081
qcom,2015,39166,0.039670312,0.085321584,0.1259294,0.147424274,-0.312633087,0.0076,0.0009,0.022878,62,-0.188561135
qcom,2014,36087,0.050451449,0.075778805,-0.689045197,0.086885713,-0.590754371,0.015,0.0011,0.018419,76,0.147424274
qcom,2013,33545,0.055455089,0.243697167,-0.214575514,0.126403689,-21,0.0174,0.0014,0.022807,66,0.086885713
qcom,2012,26972,0.050969119,0.310274472,,0.308869979,-0.948903515,0.0296,0.001,0.015499,61,0.126403689
qcom,2011,20585,0.116075072,0.013240795,,-0.015520526,-4,0.015,0.0018,0.027089,54,0.308869979
qcom,2010,20316,0.100403315,,,-0.303749394,2,0.0272,0.0016,-0.025999,41,-0.015520526
qcom,2009,28323,0.047582876,,,0.104478036,-0.874174737,0.0009,0.0192,0.001222,42,-0.303749394
mdlz,2021,27654,0.061471572,0.01233664,-0.80223689,0.032154708,-10,0.0136,0.0036,-0.034046,60,0.104478036
mdlz,2020,27317,0.051584508,0.062380897,-6,0.255550492,-5,0.0229,0.0216,0.022889,55,0.032154708
mdlz,2019,25713,0.040136943,-0.01384521,-1,-0.027495352,-0.854259791,0.0191,0.0179,0.029189,53,0.255550492
mdlz,2018,26074,0.037049169,0.034108035,-1,0.00693046,-0.664517893,0.0211,0.01,0.022557,42,-0.027495352
mdlz,2017,25214,0.042386197,-0.102704626,-6,0.047553518,-0.109423995,0.0207,0.0039,0.016675,43,0.00693046
mdlz,2016,28100,0.085298328,0.018743429,-1,0.141746808,-2,0.0073,0.0013,0.027064,43,0.047553518
mdlz,2015,27583,0.049824046,-0.152127136,-44,0.159163067,-4,0.0076,0.0009,0.022878,41,0.141746808
mdlz,2014,32532,0.070972513,0.00357848,-1,-0.11858831,-0.672645655,0.015,0.0011,0.018419,36,0.159163067
mdlz,2013,32416,0.168057118,-0.082427536,4,0.04187925,-0.16012821,0.0174,0.0014,0.022807,31,-0.11858831
mdlz,2012,35328,0.054396023,-0.017083078,,0.127932469,-1,0.0296,0.001,0.015499,35,0.04187925
